Operand,Value,Delta
PMX,282044.0,-40053.0
CX,293148.0,-51157.0
OX,285896.0,-43905.0
CX,269711.0,-27720.0
PMX,273011.0,-31020.0
PMX,275441.0,-33450.0
OX,296292.0,-54301.0
CX,289602.0,-47611.0
CX,282128.0,-40137.0
CX,280333.0,-38342.0
CX,259206.0,-17215.0
CX,260643.0,-18652.0
CX,260643.0,-18652.0
OX,281265.0,-39274.0
CX,284555.0,-42564.0
OX,278584.0,-36593.0
OX,269711.0,-27720.0
CX,257320.0,-15329.0
CX,260988.0,-18997.0
OX,277087.0,-35096.0
CX,257296.0,-15305.0
PMX,257296.0,-15305.0
OX,257296.0,-15305.0
PMX,255831.0,-13840.0
OX,257913.0,-15922.0
OX,291371.0,-49380.0
OX,257296.0,-15305.0
PMX,277087.0,-35096.0
CX,253864.0,-11873.0
CX,293089.0,-51098.0
PMX,278584.0,-36593.0
OX,266955.0,-24964.0
CX,252887.0,-10896.0
CX,252887.0,-10896.0
PMX,256621.0,-14630.0
OX,255831.0,-13840.0
OX,257296.0,-15305.0
OX,291281.0,-49290.0
CX,257296.0,-15305.0
PMX,257296.0,-15305.0
CX,250797.0,-8806.0
CX,250797.0,-8806.0
CX,250797.0,-8806.0
PMX,252887.0,-10896.0
CX,305858.0,-63867.0
PMX,262148.0,-20157.0
OX,305858.0,-63867.0
CX,259753.0,-17762.0
PMX,300293.0,-58302.0
OX,285138.0,-43147.0
OX,250797.0,-8806.0
CX,250797.0,-8806.0
PMX,262148.0,-20157.0
CX,255640.0,-13649.0
OX,250797.0,-8806.0
PMX,250797.0,-8806.0
PMX,289322.0,-47331.0
PMX,289746.0,-47755.0
PMX,261338.0,-19347.0
OX,262148.0,-20157.0
CX,254172.0,-12181.0
PMX,254172.0,-12181.0
PMX,250371.0,-8380.0
OX,250797.0,-8806.0
CX,250797.0,-8806.0
CX,278959.0,-36968.0
PMX,278959.0,-36968.0
OX,270797.0,-28806.0
CX,250797.0,-8806.0
OX,266423.0,-24432.0
OX,278533.0,-36542.0
CX,250797.0,-8806.0
PMX,290459.0,-48468.0
CX,275362.0,-33371.0
PMX,263644.0,-21653.0
CX,250797.0,-8806.0
OX,262237.0,-20246.0
OX,250371.0,-8380.0
CX,250371.0,-8380.0
OX,250797.0,-8806.0
CX,261993.0,-20002.0
CX,254172.0,-12181.0
OX,253753.0,-11762.0
PMX,252887.0,-10896.0
PMX,256562.0,-14571.0
CX,254172.0,-12181.0
OX,255672.0,-13681.0
CX,253939.0,-11948.0
CX,252887.0,-10896.0
CX,250371.0,-8380.0
PMX,251636.0,-9645.0
OX,250371.0,-8380.0
OX,251636.0,-9645.0
CX,264899.0,-22908.0
PMX,282617.0,-40626.0
PMX,264740.0,-22749.0
CX,264740.0,-22749.0
OX,251636.0,-9645.0
PMX,277992.0,-36001.0
PMX,251636.0,-9645.0
OX,251636.0,-9645.0
CX,251636.0,-9645.0
OX,251636.0,-9645.0
CX,253151.0,-11160.0
PMX,253151.0,-11160.0
PMX,251636.0,-9645.0
OX,287014.0,-45023.0
CX,251636.0,-9645.0
PMX,253151.0,-11160.0
PMX,251636.0,-9645.0
OX,250371.0,-8380.0
OX,263136.0,-21145.0
CX,247646.0,-5655.0
OX,282334.0,-40343.0
CX,250371.0,-8380.0
OX,292811.0,-50820.0
PMX,251636.0,-9645.0
CX,251636.0,-9645.0
OX,282597.0,-40606.0
PMX,281963.0,-39972.0
CX,250371.0,-8380.0
CX,250371.0,-8380.0
PMX,250371.0,-8380.0
OX,253517.0,-11526.0
OX,282380.0,-40389.0
PMX,250371.0,-8380.0
CX,285529.0,-43538.0
OX,286091.0,-44100.0
CX,247646.0,-5655.0
OX,247646.0,-5655.0
PMX,267247.0,-25256.0
OX,264899.0,-22908.0
OX,270444.0,-28453.0
CX,247646.0,-5655.0
PMX,254577.0,-12586.0
CX,264899.0,-22908.0
CX,247646.0,-5655.0
PMX,267247.0,-25256.0
PMX,267247.0,-25256.0
OX,247646.0,-5655.0
OX,247646.0,-5655.0
CX,247646.0,-5655.0
OX,296965.0,-54974.0
PMX,247646.0,-5655.0
OX,257130.0,-15139.0
CX,253151.0,-11160.0
CX,289325.0,-47334.0
CX,286240.0,-44249.0
OX,253151.0,-11160.0
