index,value
1,241991.0
2,241991.0
3,241991.0
4,241991.0
5,241991.0
6,241991.0
7,241991.0
8,241991.0
9,241991.0
10,241991.0
11,241991.0
12,241991.0
13,241991.0
14,241991.0
15,241991.0
16,241991.0
17,241991.0
18,241991.0
19,241991.0
20,241991.0
21,241991.0
22,241991.0
23,241991.0
24,241991.0
25,241991.0
26,241991.0
27,241991.0
28,241991.0
29,241370.0
30,241370.0
31,241370.0
32,241370.0
33,241370.0
34,241370.0
35,241370.0
36,241370.0
37,241370.0
38,241370.0
39,241370.0
40,241370.0
41,241370.0
42,241370.0
43,241370.0
44,241370.0
45,239784.0
46,239784.0
47,239784.0
48,239784.0
49,238834.0
50,238834.0
51,238834.0
52,238834.0
53,238834.0
54,238834.0
55,238834.0
56,238834.0
57,238834.0
58,238834.0
59,238834.0
60,238834.0
61,238834.0
62,238834.0
63,238834.0
64,238834.0
65,238834.0
66,238834.0
67,238834.0
68,238834.0
69,238834.0
70,238834.0
71,238834.0
72,238834.0
73,238834.0
74,238834.0
75,238834.0
76,238834.0
77,238834.0
78,238834.0
79,238834.0
80,238834.0
81,238834.0
82,238834.0
83,238834.0
84,236432.0
85,236432.0
86,236432.0
87,234292.0
88,234292.0
89,234292.0
90,234292.0
91,234292.0
92,234292.0
93,234292.0
94,234292.0
95,234292.0
96,234292.0
97,234292.0
98,234292.0
99,234292.0
100,234292.0
101,234292.0
