Operand,Value,Delta
Scramble,304889.0,-62898.0
Inversion,253191.0,-11200.0
Inversion,263306.0,-21315.0
Swap,306936.0,-64945.0
Swap,278673.0,-36682.0
Inversion,263306.0,-21315.0
Inversion,254172.0,-12181.0
Inversion,246886.0,-4895.0
Scramble,268567.0,-26576.0
Swap,246886.0,-4895.0
Swap,255831.0,-13840.0
Swap,255505.0,-13514.0
Inversion,268567.0,-26576.0
Scramble,275161.0,-33170.0
Swap,246177.0,-4186.0
Inversion,257296.0,-15305.0
Scramble,253864.0,-11873.0
Inversion,257296.0,-15305.0
Scramble,295576.0,-53585.0
Scramble,276507.0,-34516.0
Swap,250506.0,-8515.0
Inversion,253864.0,-11873.0
Inversion,255831.0,-13840.0
Inversion,248528.0,-6537.0
Inversion,248528.0,-6537.0
Inversion,255831.0,-13840.0
Swap,252887.0,-10896.0
Inversion,242830.0,-839.0
Inversion,252887.0,-10896.0
Scramble,303625.0,-61634.0
Swap,282501.0,-40510.0
Inversion,255831.0,-13840.0
Inversion,255831.0,-13840.0
Scramble,305858.0,-63867.0
Scramble,259063.0,-17072.0
Inversion,259063.0,-17072.0
Swap,262148.0,-20157.0
Scramble,250662.0,-8671.0
Inversion,251636.0,-9645.0
Swap,278959.0,-36968.0
Scramble,274057.0,-32066.0
Inversion,250797.0,-8806.0
Inversion,250797.0,-8806.0
Swap,262148.0,-20157.0
Scramble,260969.0,-18978.0
Scramble,273725.0,-31734.0
Inversion,260969.0,-18978.0
Scramble,289746.0,-47755.0
Swap,262148.0,-20157.0
Inversion,250797.0,-8806.0
Scramble,262237.0,-20246.0
Scramble,278959.0,-36968.0
Swap,271215.0,-29224.0
Inversion,278959.0,-36968.0
Scramble,250797.0,-8806.0
Swap,247670.0,-5679.0
Scramble,270797.0,-28806.0
Inversion,278959.0,-36968.0
Scramble,266423.0,-24432.0
Scramble,260969.0,-18978.0
Swap,263330.0,-21339.0
Scramble,262237.0,-20246.0
Swap,275362.0,-33371.0
Inversion,250797.0,-8806.0
Swap,250797.0,-8806.0
Inversion,263330.0,-21339.0
Scramble,250371.0,-8380.0
Scramble,250797.0,-8806.0
Inversion,250797.0,-8806.0
Swap,258968.0,-16977.0
Inversion,250371.0,-8380.0
Inversion,258968.0,-16977.0
Swap,245968.0,-3977.0
Scramble,291757.0,-49766.0
Scramble,285355.0,-43364.0
Inversion,250371.0,-8380.0
Swap,264899.0,-22908.0
Inversion,247646.0,-5655.0
Scramble,253151.0,-11160.0
Swap,290459.0,-48468.0
Scramble,253753.0,-11762.0
Inversion,247646.0,-5655.0
Scramble,298749.0,-56758.0
Inversion,251636.0,-9645.0
Scramble,250371.0,-8380.0
Scramble,268131.0,-26140.0
Inversion,247646.0,-5655.0
Inversion,268131.0,-26140.0
Scramble,251636.0,-9645.0
Inversion,251636.0,-9645.0
Scramble,268131.0,-26140.0
Swap,281963.0,-39972.0
Inversion,247646.0,-5655.0
Scramble,271270.0,-29279.0
Scramble,302082.0,-60091.0
Inversion,281963.0,-39972.0
Swap,300424.0,-58433.0
Inversion,268131.0,-26140.0
Inversion,251636.0,-9645.0
Inversion,251636.0,-9645.0
Swap,290459.0,-48468.0
Inversion,247646.0,-5655.0
Swap,282380.0,-40389.0
Swap,273911.0,-31920.0
Inversion,251636.0,-9645.0
Swap,247646.0,-5655.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,320386.0,-78395.0
Inversion,282380.0,-40389.0
Inversion,247646.0,-5655.0
Swap,259295.0,-17304.0
Scramble,294312.0,-52321.0
Inversion,251636.0,-9645.0
Inversion,247646.0,-5655.0
Swap,250371.0,-8380.0
Scramble,254577.0,-12586.0
Swap,254813.0,-12822.0
Scramble,264899.0,-22908.0
Inversion,247646.0,-5655.0
Scramble,243039.0,-1048.0
Swap,267247.0,-25256.0
Swap,247646.0,-5655.0
Scramble,253911.0,-11920.0
Inversion,267247.0,-25256.0
Scramble,271347.0,-29356.0
Inversion,247646.0,-5655.0
Scramble,247646.0,-5655.0
Scramble,296965.0,-54974.0
Swap,257130.0,-15139.0
Inversion,247646.0,-5655.0
Scramble,247646.0,-5655.0
Inversion,296965.0,-54974.0
Scramble,289325.0,-47334.0
Inversion,247646.0,-5655.0
Scramble,253151.0,-11160.0
Inversion,247646.0,-5655.0
Scramble,283135.0,-41144.0
Swap,280699.0,-38708.0
Inversion,283135.0,-41144.0
Inversion,280699.0,-38708.0
Scramble,286240.0,-44249.0
Inversion,283135.0,-41144.0
Inversion,283135.0,-41144.0
Inversion,247646.0,-5655.0
Swap,250371.0,-8380.0
Scramble,283854.0,-41863.0
Scramble,283453.0,-41462.0
Swap,247646.0,-5655.0
Scramble,274505.0,-32514.0
Inversion,247646.0,-5655.0
Scramble,270578.0,-28587.0
Inversion,283453.0,-41462.0
Inversion,247646.0,-5655.0
Swap,247646.0,-5655.0
Swap,253151.0,-11160.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,294079.0,-52088.0
Inversion,247646.0,-5655.0
Inversion,294079.0,-52088.0
Inversion,247646.0,-5655.0
Swap,270070.0,-28079.0
Swap,297596.0,-55605.0
Inversion,247646.0,-5655.0
Scramble,291587.0,-49596.0
Inversion,297596.0,-55605.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,302005.0,-60014.0
Scramble,254172.0,-12181.0
Inversion,247646.0,-5655.0
Scramble,303260.0,-61269.0
Inversion,247646.0,-5655.0
Inversion,303260.0,-61269.0
Scramble,288495.0,-46504.0
Inversion,247646.0,-5655.0
Swap,250662.0,-8671.0
Scramble,273545.0,-31554.0
Inversion,254172.0,-12181.0
Scramble,253753.0,-11762.0
Inversion,303260.0,-61269.0
Swap,297596.0,-55605.0
Swap,253151.0,-11160.0
Scramble,274280.0,-32289.0
Inversion,297596.0,-55605.0
Swap,263484.0,-21493.0
Swap,259860.0,-17869.0
Swap,250371.0,-8380.0
Inversion,247646.0,-5655.0
Swap,297596.0,-55605.0
Scramble,259165.0,-17174.0
Swap,297596.0,-55605.0
Scramble,284208.0,-42217.0
Swap,285838.0,-43847.0
Inversion,284208.0,-42217.0
Inversion,247646.0,-5655.0
Scramble,299023.0,-57032.0
Scramble,247646.0,-5655.0
Swap,248633.0,-6642.0
Swap,257873.0,-15882.0
Inversion,248633.0,-6642.0
Scramble,285288.0,-43297.0
Scramble,292698.0,-50707.0
Inversion,247646.0,-5655.0
Swap,252088.0,-10097.0
Inversion,252088.0,-10097.0
Swap,251636.0,-9645.0
Scramble,286157.0,-44166.0
Swap,290470.0,-48479.0
Scramble,269104.0,-27113.0
Swap,269104.0,-27113.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Swap,272808.0,-30817.0
Swap,297596.0,-55605.0
Swap,304209.0,-62218.0
Inversion,272808.0,-30817.0
Scramble,250371.0,-8380.0
Scramble,273329.0,-31338.0
Inversion,250371.0,-8380.0
Scramble,282407.0,-40416.0
Scramble,281407.0,-39416.0
Inversion,247646.0,-5655.0
Swap,250371.0,-8380.0
Swap,247646.0,-5655.0
Swap,281963.0,-39972.0
Inversion,281963.0,-39972.0
Scramble,281963.0,-39972.0
Scramble,283967.0,-41976.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,247646.0,-5655.0
Swap,279679.0,-37688.0
Scramble,263330.0,-21339.0
Scramble,275433.0,-33442.0
Swap,248633.0,-6642.0
Scramble,276504.0,-34513.0
Scramble,264899.0,-22908.0
Scramble,275137.0,-33146.0
Scramble,275137.0,-33146.0
Scramble,275433.0,-33442.0
Swap,283714.0,-41723.0
Scramble,293778.0,-51787.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Swap,282380.0,-40389.0
Scramble,250371.0,-8380.0
Swap,247646.0,-5655.0
Swap,292242.0,-50251.0
Inversion,293778.0,-51787.0
Scramble,292871.0,-50880.0
Inversion,247646.0,-5655.0
Scramble,247646.0,-5655.0
Scramble,295644.0,-53653.0
Inversion,247646.0,-5655.0
Scramble,282669.0,-40678.0
Inversion,247646.0,-5655.0
Swap,283356.0,-41365.0
Scramble,253151.0,-11160.0
Scramble,287387.0,-45396.0
Inversion,247646.0,-5655.0
Scramble,257130.0,-15139.0
Inversion,283356.0,-41365.0
Scramble,273329.0,-31338.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,273757.0,-31766.0
Scramble,279129.0,-37138.0
Inversion,247646.0,-5655.0
Scramble,293133.0,-51142.0
Scramble,250662.0,-8671.0
Inversion,247646.0,-5655.0
Inversion,247646.0,-5655.0
Scramble,264899.0,-22908.0
Scramble,247646.0,-5655.0
Scramble,247646.0,-5655.0
Swap,248633.0,-6642.0
Swap,267247.0,-25256.0
Inversion,247646.0,-5655.0
Swap,272808.0,-30817.0
Inversion,247646.0,-5655.0
Swap,264899.0,-22908.0
Swap,241370.0,621.0
Swap,267247.0,-25256.0
Inversion,272808.0,-30817.0
Scramble,265055.0,-23064.0
Scramble,311753.0,-70383.0
Inversion,247646.0,-6276.0
Swap,253151.0,-11781.0
Scramble,247646.0,-6276.0
Inversion,247646.0,-6276.0
Inversion,247646.0,-6276.0
Swap,282380.0,-41010.0
Swap,250662.0,-9292.0
Swap,288600.0,-47230.0
Swap,297596.0,-56226.0
Swap,250662.0,-9292.0
Inversion,247646.0,-6276.0
Scramble,308148.0,-66778.0
Inversion,288600.0,-47230.0
Inversion,250662.0,-9292.0
Scramble,282346.0,-40976.0
Scramble,269354.0,-27984.0
Inversion,247646.0,-6276.0
Swap,250662.0,-9292.0
Scramble,269485.0,-28115.0
Inversion,247646.0,-6276.0
Swap,279200.0,-37830.0
Scramble,279200.0,-37830.0
Scramble,257130.0,-15760.0
Scramble,247646.0,-6276.0
Scramble,289308.0,-47938.0
Inversion,247646.0,-6276.0
Scramble,259860.0,-18490.0
Swap,247646.0,-6276.0
Inversion,247646.0,-6276.0
Swap,257873.0,-16503.0
Inversion,247646.0,-6276.0
Swap,248633.0,-7263.0
Inversion,247646.0,-6276.0
Inversion,247646.0,-6276.0
Scramble,247646.0,-6276.0
Inversion,247646.0,-6276.0
Swap,250662.0,-9292.0
Scramble,293880.0,-52510.0
Inversion,247646.0,-6276.0
Swap,267247.0,-25877.0
Swap,253151.0,-11781.0
Inversion,253151.0,-11781.0
Swap,281963.0,-40593.0
Inversion,247646.0,-6276.0
